Gene_name NCBI_gene_ID Gene_type
ABHD16A 7920 protein_coding
TAS2R30 259293 protein_coding
DDTL 100037417 protein_coding
TAS2R19 259294 protein_coding
TAS2R8 50836 protein_coding
TAS2R7 50837 protein_coding
MMP11 4320 protein_coding
TAS2R50 259296 protein_coding
TAS2R43 259289 protein_coding
TAS2R43 259291 protein_coding
TAS2R14 50840 protein_coding
TAS2R14 106707243 protein_coding
TAS2R9 50835 protein_coding
LY6G6F 259215 protein_coding
TAS2R31 259290 protein_coding
TAS2R13 50838 protein_coding
TAS2R46 259292 protein_coding
TTYH1 57348 protein_coding
TAS2R20 259295 protein_coding
PRR4 5554 protein_coding
PRR4 11272 protein_coding
PSMB9 5698 protein_coding
DDAH2 23564 protein_coding
PTPRN2 5799 protein_coding
PPP1R11 6992 protein_coding
TJP1 7082 protein_coding
GSTT2B 653689 protein_coding
GSDMD 79792 protein_coding
WNT9B 7484 protein_coding
TCF19 6941 protein_coding
SALL3 27164 protein_coding
NCF4 4689 protein_coding
TAS2R10 50839 protein_coding
NSF 4905 protein_coding
SERPINF2 5345 protein_coding
ATP9B 374868 protein_coding
LTB 4050 protein_coding
PVALB 5816 protein_coding
ATP6V1G3 127124 protein_coding
SAPCD1 401251 protein_coding
BDH1 622 protein_coding
MTRNR2L6 100463482 protein_coding
PTPRC 5788 protein_coding
MGAM 8972 protein_coding
SCGB1C2 653486 protein_coding
PLEKHM1 9842 protein_coding
TAF9 6880 protein_coding
TAP1 6890 protein_coding
HLA-DRB4 3126 protein_coding
C2 717 protein_coding
PRSS58 136541 protein_coding
ZC3H3 23144 protein_coding
KRT31 3881 protein_coding
RAD17 5884 protein_coding
PYCR3 65263 protein_coding
CRHR1 1394 protein_coding
CRHR1 104909134 protein_coding
KRT33A 3883 protein_coding
GOLGA8J 653073 protein_coding
POLR1H 30834 protein_coding
OR10A3 26496 protein_coding
OR5P2 120065 protein_coding
KRT37 8688 protein_coding
OR5P3 120066 protein_coding
GREM1 26585 protein_coding
NLRP10 338322 protein_coding
 1139 protein_coding
KRTAP16-1 100505753 protein_coding
KRT34 3885 protein_coding
KRTAP17-1 83902 protein_coding
KRT33B 3884 protein_coding
EGFL8 80864 protein_coding
TNXB 7148 protein_coding
FAN1 22909 protein_coding
KEL 3792 protein_coding
TRIM15 89870 protein_coding
 100653049 protein_coding
EEF1D 1936 protein_coding
DOC2B 8447 protein_coding
KIF5C 3800 protein_coding
SCG5 6447 protein_coding
LENG9 94059 protein_coding
MTMR10 54893 protein_coding
TAMM41 132001 protein_coding
KLF13 51621 protein_coding
VWA7 80737 protein_coding
OR2H1 26716 protein_coding
CEP72 55722 protein_coding
SLC9A3 6550 protein_coding
DDR1 780 protein_coding
MCCD1 401250 protein_coding
FLOT1 10211 protein_coding
OR10C1 442194 protein_coding
HLA-DQB2 3120 protein_coding
C6orf15 29113 protein_coding
ZNF280B 140883 protein_coding
